L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,[Cl-],3,1,600,0.0004,,H2O,10.1002/anie.202116078,measured in air-saturated solution,0
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,O=C([O-])c1cccnc1-c1ncccc1C(=O)[O-],[K+],Ir-p,-1,582,0.037,,C2H5OH,10.1007/s43630-022-00200-8,measured in air-saturated solution,0
[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,O=C([O-])c1cc(-c2cc(C(=O)[O-])c3ccccc3n2)nc2ccccc12,[K+],Ir-q,-1,624,0.26,,C2H5OH,10.1007/s43630-022-00200-8,measured in air-saturated solution,0
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,Clc1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,F[P-](F)(F)(F)(F)F,1,1,620,0.07,0.14,CH2Cl2,10.1002/zaac.202200047,,1
Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1,F[P-](F)(F)(F)(F)F,2,1,630,0.03,0.145,CH2Cl2,10.1002/zaac.202200047,,1
Cc1ccnc(-c2[c-]cccc2)c1,Cc1ccnc(-c2[c-]cccc2)c1,CCCCCCOc1cccnc1C(=O)[O-],,IrG0,0,589,0.05,,CH2Cl2,10.1039/D1NJ00351H,lifetime measured in film,1
Cc1ccnc(-c2[c-]cccc2)c1,Cc1ccnc(-c2[c-]cccc2)c1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2CCCCCCOc1cccnc1C(=O)[O-],,IrG1,0,588,0.1,,CH2Cl2,10.1039/D1NJ00351H,lifetime measured in film,1
Cc1ccnc(-c2[c-]cccc2)c1,Cc1ccnc(-c2[c-]cccc2)c1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)c1cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)ccc1n2CCCCCCOc1cccnc1C(=O)[O-],,IrG2,0,586,0.15,,CH2Cl2,10.1039/D1NJ00351H,lifetime measured in film,1
Cc1ccnc(-c2[c-]cccc2)c1,Cc1ccnc(-c2[c-]cccc2)c1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)c1cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)ccc1n2-c1ccc2c(c1)c1cc(-n3c4ccc(-n5c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)ccc65)cc4c4cc(-n5c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)ccc65)ccc43)ccc1n2CCCCCCOc1cccnc1C(=O)[O-],,IrG3,0,587,0.17,,CH2Cl2,10.1039/D1NJ00351H,lifetime measured in film,1
[c-]1ccc2c3ccccc3n(-c3ccccc3)c2c1-c1ccccn1,[c-]1ccc2c3ccccc3n(-c3ccccc3)c2c1-c1ccccn1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir1,0,559,0.57,2.18,CH2Cl2,10.1002/adom.202001390,,1
FC(F)(F)c1ccnc(-c2[c-]ccc3c4ccccc4n(-c4ccccc4)c23)c1,FC(F)(F)c1ccnc(-c2[c-]ccc3c4ccccc4n(-c4ccccc4)c23)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir2,0,600,0.72,5.36,CH2Cl2,10.1002/adom.202001390,,1
C[Si](C)(C)c1ccnc(-c2[c-]ccc3c4ccccc4n(-c4ccccc4)c23)c1,C[Si](C)(C)c1ccnc(-c2[c-]ccc3c4ccccc4n(-c4ccccc4)c23)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir3,0,564,0.59,4.75,CH2Cl2,10.1002/adom.202001390,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,F[P-](F)(F)(F)(F)F,Ir1,1,654,0.1439,0.105,CH3CN,10.1007/s00775-020-01783-2,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,F[P-](F)(F)(F)(F)F,Ir1,1,631,0.3894,0.302,CH2Cl2,10.1007/s00775-020-01783-2,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,F[P-](F)(F)(F)(F)F,Ir2,1,643,0.1431,0.178,CH3CN,10.1007/s00775-020-01783-2,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,F[P-](F)(F)(F)(F)F,Ir2,1,617,0.3383,0.596,CH2Cl2,10.1007/s00775-020-01783-2,,1
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,F[P-](F)(F)(F)(F)F,Ir3,1,703,0.0254,0.045,CH3CN,10.1007/s00775-020-01783-2,,1
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,c1ccc2[nH]c(-c3ccnc(-c4cc(-c5nc6ccccc6[nH]5)ccn4)c3)nc2c1,F[P-](F)(F)(F)(F)F,Ir3,1,663,0.094,0.241,CH2Cl2,10.1007/s00775-020-01783-2,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=P([S-])(c1ccccn1)c1ccccn1,,Ir(dfppy)2(sdpp),0,466,0.312,0.4,CH2Cl2,10.1039/D1TC00832C,,1
FC(F)(F)c1ccc2nc(-c3[c-]cccc3)ccc2c1,FC(F)(F)c1ccc2nc(-c3[c-]cccc3)ccc2c1,CC(=O)/C=C(/C)[O-],,Ir-1,0,627,0.0086,0.79,CH2Cl2,10.1016/j.dyepig.2020.108405,,1
FC(F)(F)c1ccc2nc(-c3[c-]cccc3)ccc2c1,FC(F)(F)c1ccc2nc(-c3[c-]cccc3)ccc2c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir-2,0,632,0.0065,0.81,CH2Cl2,10.1016/j.dyepig.2020.108405,,1
Fc1ccc2nc(-c3[c-]cccc3)ccc2c1,Fc1ccc2nc(-c3[c-]cccc3)ccc2c1,CC(=O)/C=C(/C)[O-],,Ir-3,0,609,0.008,0.77,CH2Cl2,10.1016/j.dyepig.2020.108405,,1
Fc1ccc2nc(-c3[c-]cccc3)ccc2c1,Fc1ccc2nc(-c3[c-]cccc3)ccc2c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,Ir-4,0,613,0.0055,0.78,CH2Cl2,10.1016/j.dyepig.2020.108405,,1
[c-]1ccccc1-c1nnc(-c2ccccc2)o1,[c-]1ccccc1-c1nnc(-c2ccccc2)o1,c1ccc(-n2c(-c3ccccn3)nc3ccccc32)cc1,F[P-](F)(F)(F)(F)F,IRC-1,1,518,0.00145,0.725,CH2Cl2,10.1039/D1NJ00114K,,1
[c-]1ccccc1-c1nnc(-c2ccccc2)o1,[c-]1ccccc1-c1nnc(-c2ccccc2)o1,c1ccc(-c2nc3ccccc3n2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)nc1,F[P-](F)(F)(F)(F)F,IRC-2,1,522,0.00093,0.726,CH2Cl2,10.1039/D1NJ00114K,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc(-c2nc(-c3ccccn3)n(-c3ccccc3)n2)cc1,F[P-](F)(F)(F)(F)F,1,1,535,0.00093,0.108,CH3CN,10.1021/acs.inorgchem.0c03515,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,c1ccc(-c2nc(-c3ccccc3)n(-c3ccccn3)n2)cc1,F[P-](F)(F)(F)(F)F,2,1,488,0.0001,0.003,CH3CN,10.1021/acs.inorgchem.0c03515,,1
Cc1ccc2nc(-c3[c-]cc(F)cc3)cc(-c3ccccc3)c2c1,Cc1ccc2nc(-c3[c-]cc(F)cc3)cc(-c3ccccc3)c2c1,c1ccc(-c2nc3ccccc3[n-]2)nc1,,1,0,596,0.57,1.068,toluene,10.1016/j.synthmet.2020.116673,lifetime measured in film,1
Cc1ccc2nc(-c3[c-]cc(F)cc3)cc(-c3ccccc3)c2c1,Cc1ccc2nc(-c3[c-]cc(F)cc3)cc(-c3ccccc3)c2c1,c1ccc(-c2nnn[n-]2)nc1,,2,0,582,0.55,1.281,toluene,10.1016/j.synthmet.2020.116673,lifetime measured in film,1
Cc1ccc2nc(-c3[c-]cc(C(F)(F)F)cc3)cc(-c3ccccc3)c2c1,Cc1ccc2nc(-c3[c-]cc(C(F)(F)F)cc3)cc(-c3ccccc3)c2c1,c1ccc(-c2nc3ccccc3[n-]2)nc1,,3,0,608,0.66,1.082,toluene,10.1016/j.synthmet.2020.116673,lifetime measured in film,1
Cc1ccc2nc(-c3[c-]cc(C(F)(F)F)cc3)cc(-c3ccccc3)c2c1,Cc1ccc2nc(-c3[c-]cc(C(F)(F)F)cc3)cc(-c3ccccc3)c2c1,c1ccc(-c2nnn[n-]2)nc1,,4,0,583,0.56,1.066,toluene,10.1016/j.synthmet.2020.116673,lifetime measured in film,1
FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(-c2cc[nH]n2)nc1,F[P-](F)(F)(F)(F)F,Ir1,1,598,0.28,0.65,CH2Cl2,10.1002/zaac.202000298,,1
FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,c1cnc(-c2cc[nH]n2)cn1,F[P-](F)(F)(F)(F)F,Ir2,1,600,0.4,0.48,CH2Cl2,10.1002/zaac.202000298,,1
FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(-c2ncc[nH]2)nc1,F[P-](F)(F)(F)(F)F,Ir3,1,594,0.35,0.48,CH2Cl2,10.1002/zaac.202000298,,1
FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)c1c[c-]c(-c2nccc3ccccc23)cc1,c1cnc(-c2ncc[nH]2)cn1,F[P-](F)(F)(F)(F)F,Ir4,1,590,0.46,0.5,CH2Cl2,10.1002/zaac.202000298,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,Ir(ppy)2acac,0,520,0.31,0.268,CH2Cl2,10.1002/slct.202004750,,1
[c-]1cc(-c2cc3c4c(c2)Oc2ccccc2N4c2ccccc2O3)ccc1-c1ccccn1,[c-]1cc(-c2cc3c4c(c2)Oc2ccccc2N4c2ccccc2O3)ccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,Ir(ppybop)2acac,0,568,0.22,0.132,CH2Cl2,10.1002/slct.202004750,,1
COc1ccnc(-c2[c-]cccc2)c1,COc1ccnc(-c2[c-]cccc2)c1,CN(C)c1ccnc(-n2cccn2)c1,F[P-](F)(F)(F)(F)F,R,1,472,0.28,1.5,CH3CN,10.1016/j.dyepig.2020.108586,,1
Cc1cc(C)cc(-c2cc[c-]c(-c3cc(C)ccn3)c2)c1,Cc1cc(C)cc(-c2cc[c-]c(-c3cc(C)ccn3)c2)c1,CC(=O)/C=C(/C)[O-],,Ir(dmpmpy)2(acac),0,565,,,CH2Cl2,10.1016/j.dyepig.2020.109006,,1
FC(F)(F)c1c[c-]c(-c2ccc(-c3ccc(C(F)(F)F)cc3)nn2)cc1,FC(F)(F)c1c[c-]c(-c2ccc(-c3ccc(C(F)(F)F)cc3)nn2)cc1,O=C([O-])c1ccccn1,,1,0,547,0.554,1.67,CH2Cl2,10.1016/j.ica.2020.120100,,1
FC(F)(F)c1c[c-]c(-c2ccc(-c3ccc(C(F)(F)F)cc3)nn2)cc1,FC(F)(F)c1c[c-]c(-c2ccc(-c3ccc(C(F)(F)F)cc3)nn2)cc1,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,2,0,526,0.604,2.03,CH2Cl2,10.1016/j.ica.2020.120100,,1
FC(F)(F)c1c[c-]c(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3c2C2CCC3CC2)cc1,FC(F)(F)c1c[c-]c(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3c2C2CCC3CC2)cc1,O=C([O-])c1ccccn1,,3,0,540,0.685,1.62,CH2Cl2,10.1016/j.ica.2020.120100,,1
FC(F)(F)c1c[c-]c(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3c2C2CCC3CC2)cc1,FC(F)(F)c1c[c-]c(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3c2C2CCC3CC2)cc1,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,4,0,519,0.798,1.98,CH2Cl2,10.1016/j.ica.2020.120100,,1
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,CC(N)C(=O)[O-],,Ir1,0,557,0.88,2.17,CH3CN,10.1016/j.dyepig.2020.109016,,1
[c-]1c(-c2ccccn2)sc2ccccc12,[c-]1c(-c2ccccn2)sc2ccccc12,CC(N)C(=O)[O-],,Ir2,0,590,0.29,2.1,CH3CN,10.1016/j.dyepig.2020.109016,,1
Cc1ccc2c(n1)oc1c(-c3ccccn3)[c-]ccc12,Cc1ccc2c(n1)oc1c(-c3ccccn3)[c-]ccc12,CCC(CC)C(=O)/C=C(\[O-])C(CC)CC,,(MPBFP)2Ir(detd),0,537,,,CH2Cl2,10.1039/D0RA10584H,,1
Cc1ccc2c(n1)oc1c(-c3ccccn3)[c-]ccc12,Cc1ccc2c(n1)oc1c(-c3ccccn3)[c-]ccc12,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,(MPBFP)2Ir(tmd),0,544,,,CH2Cl2,10.1039/D0RA10584H,,1
Cc1ccc2c(n1)oc1c(-c3ccccn3)[c-]ccc12,Cc1ccc2c(n1)oc1c(-c3ccccn3)[c-]ccc12,CC(=O)/C=C(/C)[O-],,(MPBFP)2Ir(acac),0,540,,,CH2Cl2,10.1039/D0RA10584H,,1
Fc1c[c-]c(-c2nccc3ccccc23)cc1,Fc1c[c-]c(-c2nccc3ccccc23)cc1,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,F[P-](F)(F)(F)(F)F,1,1,611,0.032,2.66,CH2Cl2,10.1021/acs.organomet.7b00740,,1
Fc1c[c-]c(-c2nccc3ccccc23)cc1,Fc1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(P(c2ccccc2)c2cc3ccccc3cc2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,F[P-](F)(F)(F)(F)F,2,1,598,0.244,3.19,CH2Cl2,10.1021/acs.organomet.7b00740,,1
Fc1c[c-]c(-c2nccc3ccccc23)cc1,Fc1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,3,1,589,0.055,2.01,CH2Cl2,10.1021/acs.organomet.7b00740,,1
Cc1c[c-]c(-c2nccc3ccccc23)cc1,Cc1c[c-]c(-c2nccc3ccccc23)cc1,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,F[P-](F)(F)(F)(F)F,4,1,619,0.04,2.33,CH2Cl2,10.1021/acs.organomet.7b00740,,1
Cc1c[c-]c(-c2nccc3ccccc23)cc1,Cc1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(P(c2ccccc2)c2cc3ccccc3cc2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,F[P-](F)(F)(F)(F)F,5,1,596,0.064,2.73,CH2Cl2,10.1021/acs.organomet.7b00740,,1
Cc1c[c-]c(-c2nccc3ccccc23)cc1,Cc1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,6,1,589,0.062,2.05,CH2Cl2,10.1021/acs.organomet.7b00740,,1
FC(F)(F)Oc1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)Oc1c[c-]c(-c2nccc3ccccc23)cc1,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,F[P-](F)(F)(F)(F)F,7,1,610,0.046,2.58,CH2Cl2,10.1021/acs.organomet.7b00740,,1
FC(F)(F)Oc1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)Oc1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(P(c2ccccc2)c2cc3ccccc3cc2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,F[P-](F)(F)(F)(F)F,8,1,602,0.128,2.83,CH2Cl2,10.1021/acs.organomet.7b00740,,1
FC(F)(F)Oc1c[c-]c(-c2nccc3ccccc23)cc1,FC(F)(F)Oc1c[c-]c(-c2nccc3ccccc23)cc1,c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,F[P-](F)(F)(F)(F)F,9,1,593,0.098,1.77,CH2Cl2,10.1021/acs.organomet.7b00740,,1
[c-]1ccc2ccccc2c1-c1nc2ccccc2n1-c1ccccc1,[c-]1ccc2ccccc2c1-c1nc2ccccc2n1-c1ccccc1,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,Ir-1,0,588,0.32,0.59,CH2Cl2,10.1016/j.synthmet.2022.117195,,1
[c-]1c(-c2nc3ccccc3n2-c2ccccc2)ccc2ccccc12,[c-]1c(-c2nc3ccccc3n2-c2ccccc2)ccc2ccccc12,FC(F)(F)c1n[n-]c(-c2ccccn2)n1,,Ir-2,0,534,0.47,0.36,CH2Cl2,10.1016/j.synthmet.2022.117195,,1
[c-]1ccsc1-c1ncccn1,[c-]1ccsc1-c1ncccn1,CC(=O)/C=C(/C)[O-],,Ir1,0,558,0.424,0.23,CH2Cl2,10.1002/jccs.202200370,,1
[c-]1c(-c2ncccn2)sc2ccccc12,[c-]1c(-c2ncccn2)sc2ccccc12,CC(=O)/C=C(/C)[O-],,Ir2,0,611,0.201,0.33,CH2Cl2,10.1002/jccs.202200370,,1
FC(F)(F)c1ccnc(-c2[c-]ccs2)c1,FC(F)(F)c1ccnc(-c2[c-]ccs2)c1,CC(=O)/C=C(/C)[O-],,Ir3,0,598,0.509,0.28,CH2Cl2,10.1002/jccs.202200370,,1
FC(F)(F)c1ccnc(-c2[c-]c3ccccc3s2)c1,FC(F)(F)c1ccnc(-c2[c-]c3ccccc3s2)c1,CC(=O)/C=C(/C)[O-],,Ir4,0,647,0.164,0.32,CH2Cl2,10.1002/jccs.202200370,,1
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,[O-]P(=Nc1nnc(-c2ccccc2)o1)(c1ccccc1)c1ccccc1,,1,0,539,0.21,0.7,CH3CN,10.1039/c7tc02420g,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,[O-]P(=Nc1nnc(-c2ccccc2)o1)(c1ccccc1)c1ccccc1,,2,0,592,0.06,0.48,CH3CN,10.1039/c7tc02420g,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,[O-]P(=Nc1nnc(-c2ccccc2)o1)(c1ccccc1)c1ccccc1,,3,0,614,0.06,0.98,CH3CN,10.1039/c7tc02420g,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2nc3ccccc3[nH]2)nc1,F[P-](F)(F)(F)(F)F,Ir1,1,555,0.0225,0.3748,PBS,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2nc3ccccc3[nH]2)nc1,F[P-](F)(F)(F)(F)F,Ir1,1,546,0.0459,0.0455,CH3CN,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2nc3cc4ccccc4cc3[nH]2)nc1,F[P-](F)(F)(F)(F)F,Ir2,1,655,0.0039,0.8517,PBS,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2nc3cc4ccccc4cc3[nH]2)nc1,F[P-](F)(F)(F)(F)F,Ir2,1,629,0.0051,0.1736,CH3CN,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2nc(-c3nc4ccccc4[nH]3)ccc2c1,F[P-](F)(F)(F)(F)F,Ir3,1,697,0.0398,0.9805,PBS,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2nc(-c3nc4ccccc4[nH]3)ccc2c1,F[P-](F)(F)(F)(F)F,Ir3,1,605,0.0498,0.0729,CH3CN,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2cc3[nH]c(-c4ccc5ccccc5n4)nc3cc2c1,F[P-](F)(F)(F)(F)F,Ir4,1,719,0.003,1.1146,PBS,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2cc3[nH]c(-c4ccc5ccccc5n4)nc3cc2c1,F[P-](F)(F)(F)(F)F,Ir4,1,728,0.0062,0.1235,CH3CN,10.1021/acsami.7b10258,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cn1ccnc1-c1nccn1C,F[P-](F)(F)(F)(F)F,Ir1,1,490,0.022,0.1613,PBS,10.1021/acsami.7b01735,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cn1ccnc1-c1nccn1C,F[P-](F)(F)(F)(F)F,Ir1,1,490,0.03,0.02713,CH3CN,10.1021/acsami.7b01735,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cn1ccnc1-c1nccn1C,F[P-](F)(F)(F)(F)F,Ir1,1,486,0.0061,0.01454,CH2Cl2,10.1021/acsami.7b01735,,1
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Cn1ccnc1-c1nccn1C,F[P-](F)(F)(F)(F)F,Ir2,1,543,0.026,0.8978,PBS,10.1021/acsami.7b01735,,1
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Cn1ccnc1-c1nccn1C,F[P-](F)(F)(F)(F)F,Ir2,1,544,0.013,0.0692,CH3CN,10.1021/acsami.7b01735,,1
[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,Cn1ccnc1-c1nccn1C,F[P-](F)(F)(F)(F)F,Ir2,1,544,0.017,0.1918,CH2Cl2,10.1021/acsami.7b01735,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1nc(O)c2nc3c4cccnc4c4ncccc4c3nc2n1,F[P-](F)(F)(F)(F)F,PSIR-3,1,598,0.011,0.32,CH3CN,10.3390/pharmaceutics13050603,,1
[c-]1ccccc1-c1nc2ccccc2nc1-c1ccccc1,[c-]1ccccc1-c1nc2ccccc2nc1-c1ccccc1,CCN(CC)c1ccc2c(-c3ccnc(-c4cc(C(=O)NCCCCNC(=O)Cc5c(C)n(C(=O)c6ccc(Cl)cc6)c6ccc(OC)cc56)ccn4)c3)c3ccc(=[N+](CC)CC)cc-3oc2c1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,IM-rho-Ir,2,635,0.007,,CH3CN,10.1016/j.bioorg.2021.105142,,1
[c-]1ccccc1-c1nc2ccccc2nc1-c1ccccc1,[c-]1ccccc1-c1nc2ccccc2nc1-c1ccccc1,CCN(CC)c1ccc2c(-c3ccnc(-c4cc(C)ccn4)c3)c3ccc(=[N+](CC)CC)cc-3oc2c1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,Ir-rho-G2,2,633,0.006,,CH3CN,10.1016/j.bioorg.2021.105142,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)c(C#Cc5ccc(-c6ccccn6)nc5)c(C)n4[B-]3(F)F)C(C)=C2)cc1,F[P-](F)(F)(F)(F)F,Ir-1,1,624,0.399,0.05708,toluene,10.1039/C4TB00284A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)c(C#Cc5ccc(-c6ccccn6)nc5)c(C)n4[B-]3(F)F)C(C)=C2)cc1,F[P-](F)(F)(F)(F)F,Ir-1,1,624,0.047,0.00221,CH2Cl2,10.1039/C4TB00284A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)c(C#Cc5ccc(-c6ccccn6)nc5)c(C)n4[B-]3(F)F)C(C)=C2)cc1,F[P-](F)(F)(F)(F)F,Ir-1,1,615,0.069,0.00055,CH3OH,10.1039/C4TB00284A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)c(C#Cc5ccc(-c6ccccn6)nc5)c(C)n4[B-]3(F)F)C(C)=C2)cc1,F[P-](F)(F)(F)(F)F,Ir-1,1,616,0.117,0.00054,CH3CN,10.1039/C4TB00284A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)c(C#Cc5ccc(-c6ccccn6)nc5)c(/C=C/c5ccc(OC)cc5)n4[B-]3(F)F)C(C)=C2)cc1,F[P-](F)(F)(F)(F)F,Ir-2,1,691,0.132,0.00386,toluene,10.1039/C4TB00284A,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)c(C#Cc5ccc(-c6ccccn6)nc5)c(/C=C/c5ccc(OC)cc5)n4[B-]3(F)F)C(C)=C2)cc1,F[P-](F)(F)(F)(F)F,Ir-2,1,678,0.06,0.00203,CH2Cl2,10.1039/C4TB00284A,,1
